name,node_type,ipv6,principal,subnet,physical_system
mercury.at2-dll21.312,external,2604:3fc0:2001:0:6801:baff:fe04:ef15,cvic3-6mmjj-2zszr-mr727-im4l5-skwod-gzrg2-avd4i-bahw3-xyx3l-2ae,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,at2-dll21.at2.dfinity.network
mercury.at2-dll22.313,external,2604:3fc0:2001:0:6801:a3ff:fe33:de40,icbco-xw6zg-wlhyp-juqf4-h5gbs-jjein-nmc6n-itoxd-o52q7-q7fjz-gae,brlsh-zidhj-3yy3e-6vqbz-7xnih-xeq2l-as5oc-g32c4-i5pdn-2wwof-oae,at2-dll22.at2.dfinity.network
mercury.at2-dll23.314,external,2604:3fc0:2001:0:6801:e6ff:fe2a:30a2,dvtqe-tiij5-cthxl-ccixf-7fymg-2iuh3-dbdup-zfnmc-5myo5-vjdm3-nqe,unassigned,at2-dll23.at2.dfinity.network
mercury.at2-dll24.315,external,2604:3fc0:2001:0:6801:dff:feb7:964c,2n6eu-vv67p-bvuwq-eqfwb-r6jdi-wp3fo-jcodd-a7jtx-frju7-3sh3j-zqe,unassigned,at2-dll24.at2.dfinity.network
mercury.at2-dll25.316,external,2604:3fc0:2001:0:6801:71ff:fe9e:f832,ibbyb-n7kd2-uq3hl-3crvw-lezsr-3yyoc-ku63b-uqo5l-tlpfp-qtbll-3ae,uzr34-akd3s-xrdag-3ql62-ocgoh-ld2ao-tamcv-54e7j-krwgb-2gm4z-oqe,at2-dll25.at2.dfinity.network
mercury.at2-dll26.317,external,2604:3fc0:2001:0:6801:6cff:fe50:66d7,rkzu3-pcime-656cn-67oho-rkmjy-ko335-tjxqq-cd3cc-zmv4f-3kgug-pae,unassigned,at2-dll26.at2.dfinity.network
mercury.at2-dll27.318,external,2604:3fc0:2001:0:6801:deff:fe38:ef90,cjiry-m7wev-s6adg-3oqev-2g74r-wmtlj-ttdbj-abwts-rtwlj-6lxts-dqe,yinp6-35cfo-wgcd2-oc4ty-2kqpf-t4dul-rfk33-fsq3r-mfmua-m2ngh-jqe,at2-dll27.at2.dfinity.network
mercury.at2-dll28.319,external,2604:3fc0:2001:0:6801:b9ff:fe78:b2ea,jd4tu-jujfx-r4jhd-64yek-3s34j-3qw73-443cu-um6ng-6me6p-r5jwl-3ae,pzp6e-ekpqk-3c5x7-2h6so-njoeq-mt45d-h3h6c-q3mxf-vpeq5-fk5o7-yae,at2-dll28.at2.dfinity.network
mercury.aw1-dll01.809,external,2604:7e00:30:3:6801:95ff:fe99:f71a,lgace-5cwnu-qdetp-njbse-bb32a-luemb-qpqh5-jycg2-je7m3-j4crf-dqe,lhg73-sax6z-2zank-6oer2-575lz-zgbxx-ptudx-5korm-fy7we-kh4hl-pqe,aw1-dll01.aw1.dfinity.network
mercury.aw1-dll02.810,external,2604:7e00:30:3:6801:68ff:fed4:1a3f,y6spi-eqlcd-gscy2-hmlr2-xhwb7-sxpdp-m4nc7-seat6-cwkvl-y4pia-eae,unassigned,aw1-dll02.aw1.dfinity.network
