node_provider_id,rewards_icp,account_id
diyay-s4rfq-xnx23-zczwi-nptra-5254n-e4zn6-p7tqe-vqhzr-sd4gd-bqe,4730.01615056,ec725e63cd370f7722764518922cd1562ac2c102fbb228a599efdd8aacc94bee
33aps-ovxje-mwpux-cy2hh-f2qwp-5tzxs-2edbb-gblfn-ev5pv-cfnvj-pqe,0.00000000,95349fc895c228a179e5658a65a4010286eb58ddfc97200ffc7cc52bf9f0764f
amsdj-4ss2k-wwcae-kroro-ippwx-lcro4-ysoha-uqlvc-3267j-vt3fy-yqe,0.00000000,18f00dadb7f363a5eec19a835bedb4c8a879f2089699c77e6a0325400622ad6d
n6w7e-4cio3-an35h-hntwl-zzg4p-krqjk-yfmni-q7jiu-bage2-hef5b-pae,0.00000000,4aca56538104a638c539bd7a9599d7b175e35fba557b8a7c365d2f6690eaa1c8
qsdw4-ao5ye-6rtq4-y3zhm-icjbj-lutd2-sbejz-4ajqz-pcflr-xrhsg-jae,0.00000000,44bcdc816d085f4aaf2b44e48f09f3c4986b406c117a3fb2c0791b43f483eb6c
veamq-6zmtx-dtdky-ctoun-gokvu-cr6zm-ffsky-dz35w-e2euw-zvv7e-vae,0.00000000,1fd2e516726dba3f1b5120f5cc15a3f8e0cfd1ab3dd5cc513ca58ab255240f55
eatbv-nlydd-n655c-g7j7p-gnmpz-pszdg-6e6et-veobv-ftz2y-4m752-vqe,3509.56219967,8257bd8f5a01f52d6f6847ce331dceac11fe97a426b5f9dd6a815150bc77491b
pa5mu-yxsey-b4yrk-bodka-dhjnm-a3nx4-w2grw-3b766-ddr6e-nupu4-pqe,1031.22303790,87f7b98581f2877dae740c1ca3d1bdd66783c03836baa1d59e1408c626c51b21
otzuu-dldzs-avvu2-qwowd-hdj73-aocy7-lacgi-carzj-m6f2r-ffluy-fae,3894.65563267,e74f1c7de0a8a2cc8284d082a131974568e7c14b5bf129716e5baedb7042e987
j2tnr-f5tmm-afnyl-762n7-o272x-ji2xi-bcpld-ihimy-fw52d-2zqov-xae,0.00000000,a56577f858c2f629ad30d6e2790d4e9f8fe46fde924b56e7ce32588641deead6
vegae-c4chr-aetfj-7gzuh-c23sx-u2paz-vmvbn-bcage-pu7lu-mptnn-eqe,16456.07714895,6c2ec8bd24b0b6999f8913dc84e70367db9f0345e7aa0e2cbbdf8ffcf6ce0a7e
qipsq-44ztq-4oxob-dulxs-35tho-zjf5o-onu2b-sjuhk-4jd7x-yfdhz-qae,0.00000000,e9f7b8c97e2262f97e0e8114b250fe5ac9adc0e5372bfc524c98e48d1adede57
6sq7t-knkul-fko6h-xzvnf-ktbvr-jhx7r-hapzr-kjlek-whugy-zt6ip-xqe,12456.54831820,a86d7adc32330fa789ee3b3a449491270fbc435d970472b03b1c369f0309bcfc
kf7dx-5wayj-3p2u4-yd4hf-m2en4-np75j-tta25-wqe7y-rlm6s-nqceb-7ae,0.00000000,2ea3cf31b2f0cab014594b9c7bbdaf7e57179491ead918266945da6fd8b8beef
s5nvr-ipdxf-xg6wd-ofacm-7tl4i-nwjzx-uulum-cugwb-kbpsa-wrsgs-cae,3894.65563267,e7cd6e20ef7ac7329871db6310ab2b8db0e14a5f84ef64d6a87fce2bf16a6152
6ryfx-xszlo-xpvyj-b7vx6-m4erk-zwdkc-5lzfw-fty7k-arl66-uc3jk-nae,0.00000000,3a2ec378efa8ffb869e505e64a29bdab7665b49a277d1aa84337fd55421bf543
b7yyj-o7vc6-hdbzl-eggkm-bp2hg-3jmcv-5j5nn-t6zkq-ino4b-cvyde-yqe,0.00000000,58dda08e57ec85d9334cdd73b1a90108882508f2ffde49e853fbc5fa5e6990ec
kgfpq-4th36-lvnpn-ayygq-hikoq-dndag-vvafx-msvg5-aczmu-pkzsv-7ae,0.00000000,0566cc386bbbde35b6d63c9629491d79615171b052664de6c58b31469f8f4d0f
kn4u4-unhbe-qwud4-ki6lq-o4try-6l2gv-yrxmg-vw6st-fmlss-nsztj-7qe,0.00000000,d7abfd0d026b601683b69b45d0d2acfe28de125f6dc0ffd77ccc210f88bfaa37
34cav-6s7rb-uwa3c-awdly-5md4r-lwueh-atzbn-unqpe-c5ope-f3nqj-wae,0.00000000,21469605013582fbc1949e91f78f95a1de740ee9df347e47a3623633a8ada672
7ne6c-3ahs2-76so4-te6hs-oq4mv-zhz4c-pqj2b-rxjmq-q56vn-tvpgj-2ae,0.00000000,da3c63406f6fdc7d039dd9dd18093799735e344b933b8c552f7dd4288499273e
znw2p-4cx6u-ocqls-277iu-2lkir-xjy7g-4s3sj-sjy6j-mtlay-rnnra-yqe,608.38534436,0f5019b47cfe5953f0b797f76853f6df7fa2151eb3d4517de313f01a85b8eaf8
2cfu2-qyug6-y4cme-lvj3c-6fs65-cbti4-ea6ig-nkaoj-fsbte-7n5gp-wae,0.00000000,dd3891a1ed55390f24a55d2ff373f2582a3413c67285f1a1c79b99739ff7b105
